Wavelength (nm),Relative Intensity (%)
350,0.1
351,1
352,1.2
353,-0.5
354,0.1
355,0.6
356,0.9
357,-0.5
358,-0.4
359,0.5
360,2
361,1.2
362,1.4
363,0.2
364,-0.4
365,0.5
366,1.7
367,0.6
368,0.9
369,0.8
370,1.3
371,1
372,0.1
373,0.8
374,0.6
375,0
376,0.4
377,0.3
378,0.4
379,1.2
380,0.9
381,0.9
382,0.6
383,0.4
384,0.2
385,-0.2
386,0.6
387,1
388,0.3
389,0.8
390,0.9
391,1
392,1
393,0.9
394,0.5
395,0.7
396,0.8
397,0.7
398,1.2
399,1.2
400,0.7
401,1.3
402,1.3
403,1.2
404,1
405,0.5
406,1.1
407,1.5
408,1.3
409,1
410,1.1
411,1.2
412,1.2
413,0.7
414,0.9
415,1
416,1.1
417,1.2
418,1.1
419,1.3
420,1.5
421,1
422,1.3
423,1.2
424,1.6
425,1.6
426,1.4
427,1.2
428,1.2
429,1.6
430,1.9
431,1.7
432,2
433,1.9
434,1.8
435,1.8
436,1.7
437,1.8
438,1.8
439,2.2
440,2.2
441,1.9
442,2.1
443,2.2
444,2.1
445,2.3
446,2.3
447,2.1
448,2.4
449,2.5
450,2.3
451,2.3
452,2.4
453,2.6
454,2.7
455,2.5
456,2.6
457,2.6
458,2.6
459,2.8
460,3
461,3.2
462,3.1
463,2.9
464,2.9
465,3.2
466,3.5
467,3.3
468,3.4
469,3.3
470,3.4
471,3.7
472,3.6
473,3.3
474,3.4
475,3.6
476,3.6
477,3.5
478,3.5
479,3.7
480,3.8
481,3.9
482,4
483,4
484,4
485,4
486,4.1
487,4
488,4.1
489,4.3
490,4.5
491,4.3
492,4.5
493,4.7
494,4.5
495,4.5
496,4.6
497,4.6
498,4.9
499,4.8
500,4.8
501,5.3
502,4.9
503,5.1
504,5.3
505,5
506,5.3
507,5.4
508,5.4
509,5.4
510,5.6
511,5.6
512,5.9
513,5.9
514,5.9
515,5.8
516,5.9
517,6.1
518,6.1
519,6.1
520,6.1
521,6
522,6.2
523,6.6
524,6.6
525,6.9
526,6.9
527,6.5
528,7
529,6.8
530,6.9
531,6.8
532,6.9
533,7.1
534,7.1
535,7.3
536,7.4
537,7.1
538,7.4
539,7.5
540,7.6
541,7.6
542,7.7
543,8
544,8.3
545,7.9
546,8.4
547,8.5
548,8.2
549,8.2
550,8.7
551,8.6
552,8.5
553,8.3
554,8.5
555,8.7
556,8.8
557,9
558,8.8
559,8.7
560,8.8
561,9.5
562,9.7
563,9.4
564,9.8
565,9.9
566,9.8
567,9.8
568,9.8
569,10.4
570,10.1
571,10.2
572,10.2
573,10.4
574,10.5
575,10.2
576,10.5
577,10.7
578,10.6
579,10.5
580,10.8
581,11.4
582,11.8
583,11.3
584,11.1
585,11.4
586,11.6
587,11.4
588,11.6
589,11.6
590,11.4
591,11.3
592,11.3
593,11.8
594,12.6
595,12.6
596,12.4
597,12.2
598,12.5
599,13.1
600,12.7
601,13.2
602,14
603,13.8
604,13.3
605,12.7
606,13.6
607,14
608,14.2
609,13.5
610,13.4
611,13.2
612,13.4
613,13.7
614,14.2
615,14.2
616,14.1
617,14.3
618,14.2
619,14.5
620,14.7
621,14.6
622,14.4
623,14.8
624,15
625,15.3
626,15.3
627,15.1
628,15.6
629,15.6
630,15.1
631,15.2
632,15.7
633,16.2
634,16
635,16.2
636,16.1
637,15.9
638,15.8
639,15.9
640,16.3
641,16.6
642,17.2
643,17.5
644,17.5
645,18.2
646,17.8
647,17.9
648,17.8
649,16.9
650,16.5
651,16.9
652,17
653,17.2
654,17.7
655,17.3
656,17.7
657,18.4
658,19.1
659,19.4
660,19.4
661,19.3
662,18.8
663,18.3
664,18.3
665,18.6
666,18.9
667,19.2
668,19.8
669,19.6
670,19.5
671,18.7
672,19
673,19.1
674,20.4
675,20.8
676,19.4
677,19.5
678,20.3
679,20.6
680,20.9
681,21.1
682,21.2
683,20.7
684,21.4
685,20.5
686,20.3
687,20
688,19.3
689,20.4
690,21.2
691,21.3
692,21.8
693,21.8
694,21.8
695,22.3
696,21.2
697,21
698,21.4
699,21.7
700,21.9
701,22.3
702,23.2
703,22.6
704,23.8
705,23.1
706,22.9
707,22.9
708,22.9
709,22.7
710,22.9
711,23.4
712,24
713,23.4
714,23.1
715,23.9
716,24.5
717,24.3
718,24.5
719,25.7
720,25.8
721,24.8
722,24.7
723,24.6
724,26.2
725,25.2
726,24.1
727,23.4
728,24
729,25
730,25.7
731,26.7
732,27.2
733,26.4
734,25.5
735,24.8
736,24.8
737,25.4
738,26
739,26.6
740,27
741,26.6
742,26.1
743,26.6
744,27.9
745,27.4
746,27.5
747,27.8
748,27.3
749,28.1
750,28.1
751,26.7
752,27.7
753,28.4
754,28.1
755,27.8
756,27.3
757,28.2
758,28.3
759,28
760,29.2
761,29.8
762,27.4
763,27.3
764,27.4
765,28.7
766,27.9
767,28.3
768,29.1
769,29.7
770,29.4
771,29.7
772,31.9
773,32.1
774,31.3
775,30
776,29.1
777,29.4
778,31.7
779,32.6
780,31.4
781,29.5
782,29.2
783,30.6
784,31.9
785,33.6
786,31.7
787,31.8
788,30.4
789,30.2
790,31.5
791,31.8
792,30.4
793,30.5
794,30.3
795,29.9
796,31
797,30.6
798,30.8
799,33.1
800,33.1
801,31.5
802,30.6
803,30.2
804,30.7
805,28.7
806,30.1
807,30.9
808,31.8
809,33.8
810,34.2
811,34.9
812,36.5
813,36.4
814,35.8
815,35.9
816,34.9
817,35
818,35.3
819,33.5
820,33.4
821,33.5
822,32
823,31.4
824,33.7
825,34.1
826,32
827,32.9
828,34.5
829,34.8
830,34.5
831,34.3
832,32.2
833,32.4
834,33.3
835,35.7
836,37.2
837,34.9
838,35.5
839,35.6
840,36.7
841,37.1
842,35.7
843,35.6
844,38.2
845,38.8
846,39
847,36.7
848,37.4
849,35.3
850,35.5
851,35.1
852,34.5
853,35.1
854,35.6
855,36.4
856,34.6
857,35.5
858,37.2
859,37.8
860,38.3
861,36.6
862,37
863,35.5
864,35.3
865,35.1
866,35.2
867,31.7
868,34.2
869,34.4
870,36.2
871,35.9
872,36.3
873,36.8
874,36.4
875,38.3
876,37.6
877,39.5
878,40.6
879,39.5
880,39.3
881,36.1
882,38.2
883,42.2
884,40.9
885,39
886,39.4
887,40.8
888,40.9
889,40
890,41
891,42
892,41.3
